geojson_admin3_code,geojson_admin3_name,geojson_admin2_name,geojson_admin1_name,geojson_normalized_name,citypopulation_parent_code,citypopulation_parent_name,suggested_parent_code,suggested_parent_name,suggested_parent_score,allocation_weight,notes
ET070119,Debub Sodo,Guraghe,SNNP,debubsodo,,,,,,,
ET070120,Enor Ener,Guraghe,SNNP,enorener,,,,,,,
ET070212,Shone Town,Hadiya,SNNP,shone,,,,,,,
ET070214,Jajura town,Hadiya,SNNP,jajura,,,,,,,
ET070215,Ameka,Hadiya,SNNP,ameka,,,,,,,
ET070216,Siraro Badawacho,Hadiya,SNNP,sirarobadawacho,,,,,,,
ET070217,Mirab Soro,Hadiya,SNNP,mirabsoro,,,,,,,
ET070309,Adilo,Kembata Tembaro,SNNP,adilo,,,,,,,
ET070310,Shinshincho town,Kembata Tembaro,SNNP,shinshincho,,,,,,,
ET070312,Hadero town,Kembata Tembaro,SNNP,hadero,,,,,,,
ET070508,Chelelektu town,Gedeo,SNNP,chelelektu,,,,,,,
ET070509,Rape,Gedeo,SNNP,rape,,,,,,,
ET070510,Churso,Gedeo,SNNP,churso,,,,,,,
ET070614,Areka town,Wolayita,SNNP,areka,,,,,,,
ET070615,Boditi town,Wolayita,SNNP,boditi,,,,,,,
ET070616,Tebela town,Wolayita,SNNP,tebela,,,,,,,
ET070617,Gesuba town,Wolayita,SNNP,gesuba,,,,,,,
ET070618,Gununo Hamus town,Wolayita,SNNP,gununohamus,,,,,,,
ET070619,Hobicha Abaya,Wolayita,SNNP,hobichaabaya,,,,,,,
ET070620,Kawo Koisha,Wolayita,SNNP,kawokoisha,,,,,,,
ET070621,Abela Abaya,Wolayita,SNNP,abelaabaya,,,,,,,
ET070622,Bayera Koisha,Wolayita,SNNP,bayerakoisha,,,,,,,
ET070709,Jinka town,South Omo,SNNP,jinka,,,,,,,
ET070710,Boko Dawula,South Omo,SNNP,bokodawula,,,,,,,
ET070711,Wub Ari,South Omo,SNNP,wubari,,,,,,,
ET071003,Selamber town,Gamo,SNNP,selamber,,,,,,,
ET071006,Chencha Zuriya,Gamo,SNNP,chenchazuriya,,,,,,,
ET071007,Ezo /Kogota,Gamo,SNNP,ezokogota,,,,,,,
ET071013,Gerese,Gamo,SNNP,gerese,,,,,,,
ET071016,Gacho Baba,Gamo,SNNP,gachobaba,,,,,,,
ET071017,Kucha Alpha,Gamo,SNNP,kuchaalpha,,,,,,,
ET071018,Garda Marta,Gamo,SNNP,gardamarta,,,,,,,
ET071205,Alle Special,Alle,SNNP,alle,,,,,,,
ET071301,Karat town,Konso,SNNP,karat,,,,,,,
ET071302,Segen Zuria,Konso,SNNP,segenzuria,,,,,,,
ET071304,Kena,Konso,SNNP,kena,,,,,,,
ET071401,Kulito town,Halaba,SNNP,kulito,,,,,,,
ET071403,Atote Ulo,Halaba,SNNP,atoteulo,,,,,,,
ET071404,Wera Djo,Halaba,SNNP,weradjo,,,,,,,
ET071508,Bulike town,Gofa,SNNP,bulike,,,,,,,
ET071509,Melo Gada,Gofa,SNNP,melogada,,,,,,,
ET072009,Tora town,Siltie,SNNP,tora,,,,,,,
ET072010,Worabe town,Siltie,SNNP,worabe,,,,,,,
ET072011,Kibet town,Siltie,SNNP,kibet,,,,,,,
ET072012,Mito,Siltie,SNNP,mito,,,,,,,
ET072013,Misrak Siltie,Siltie,SNNP,misraksiltie,,,,,,,
ET110104,Tepi,Sheka,South West Ethiopia,tepi,,,,,,,
ET110201,Saylem,Kefa,South West Ethiopia,saylem,,,,,,,
ET110202,Gesha,Kefa,South West Ethiopia,gesha,,,,,,,
ET110205,Adiyio,Kefa,South West Ethiopia,adiyio,,,,,,,
ET110206,Tullo,Kefa,South West Ethiopia,tullo,,,,,,,
ET110213,Shisho Ande,Kefa,South West Ethiopia,shishoande,,,,,,,
ET110214,Wacha,Kefa,South West Ethiopia,wacha,,,,,,,
ET110302,Gurafereda,Bench Sheko,South West Ethiopia,gurafereda,,,,,,,
ET110306,Gidi Bench,Bench Sheko,South West Ethiopia,gidibench,,,,,,,
ET110308,Size town,Bench Sheko,South West Ethiopia,size,,,,,,,
ET110404,Gena,Dawuro,South West Ethiopia,gena,,,,,,,
ET110406,Kachi,Dawuro,South West Ethiopia,kachi,,,,,,,
ET110407,Tercha Zuriya,Dawuro,South West Ethiopia,terchazuriya,,,,,,,
ET110408,Mari Mansa,Dawuro,South West Ethiopia,marimansa,,,,,,,
ET110409,Disa,Dawuro,South West Ethiopia,disa,,,,,,,
ET110410,Zabagazo,Dawuro,South West Ethiopia,zabagazo,,,,,,,
ET110411,Tercha town,Dawuro,South West Ethiopia,tercha,,,,,,,
ET110412,Gesa town,Dawuro,South West Ethiopia,gesa,,,,,,,
ET110501,Gachit,Mirab Omo,South West Ethiopia,gachit,,,,,,,
ET110502,Menit Goldiye,Mirab Omo,South West Ethiopia,menitgoldiye,,,,,,,
ET110503,Gori Gesha,Mirab Omo,South West Ethiopia,gorigesha,,,,,,,
ET110504,Menit Shasha,Mirab Omo,South West Ethiopia,menitshasha,,,,,,,
ET120105,Makuey,Nuwer,Gambela,makuey,,,,,,,
ET130101,Sofi,Harari,Harari,sofi,,,,,,,
ET130102,Shenkor,Harari,Harari,shenkor,,,,,,,
ET130103,Jinela,Harari,Harari,jinela,,,,,,,
ET130104,Hakim,Harari,Harari,hakim,,,,,,,
ET130106,Dire Teyara,Harari,Harari,direteyara,,,,,,,
ET130107,Amir Nur,Harari,Harari,amirnur,,,,,,,
ET130108,Aboker,Harari,Harari,aboker,,,,,,,
ET130109,Abadir,Harari,Harari,abadir,,,,,,,
ET140111,Lemi Kura,Region 14,Addis Ababa,lemikura,,,,,,,
ET150103,Sabian,Dire Dawa urban,Dire Dawa,sabian,,,,,,,
ET150104,Malka Jabti /M.Jebdu),Dire Dawa urban,Dire Dawa,malkajabtimjebdu,,,,,,,
ET150105,Legehare,Dire Dawa urban,Dire Dawa,legehare,,,,,,,
ET150111,Dechatu,Dire Dawa urban,Dire Dawa,dechatu,,,,,,,
ET150112,Hafat Issa,Dire Dawa urban,Dire Dawa,hafatissa,,,,,,,
ET150113,Kazira,Dire Dawa urban,Dire Dawa,kazira,,,,,,,
ET150114,Police Maret,Dire Dawa urban,Dire Dawa,policemaret,,,,,,,
ET150201,Aseliso,Dire Dawa rural,Dire Dawa,aseliso,,,,,,,
ET150206,Jeldessa,Dire Dawa rural,Dire Dawa,jeldessa,,,,,,,
ET150207,Wahil,Dire Dawa rural,Dire Dawa,wahil,,,,,,,
ET150208,Biyoawale,Dire Dawa rural,Dire Dawa,biyoawale,,,,,,,
ET160007,Hulla,Sidama,Sidama,hulla,,,,,,,
ET160013,Wonosho,Sidama,Sidama,wonosho,,,,,,,
ET160014,Chire,Sidama,Sidama,chire,,,,,,,
ET160016,Aleta Chuko,Sidama,Sidama,aletachuko,,,,,,,
ET160018,Hawasa town,Sidama,Sidama,hawasa,,,,,,,
ET160019,Wondo-Genet,Sidama,Sidama,wondogenet,,,,,,,
ET160020,Yirgalem town,Sidama,Sidama,yirgalem,,,,,,,
ET160021,Aleta Wondo town,Sidama,Sidama,aletawondo,,,,,,,
ET160022,Leku town,Sidama,Sidama,leku,,,,,,,
ET160023,Hawela,Sidama,Sidama,hawela,,,,,,,
ET160024,Bura,Sidama,Sidama,bura,,,,,,,
ET160025,Dara Otilicho,Sidama,Sidama,daraotilicho,,,,,,,
ET160026,Teticha,Sidama,Sidama,teticha,,,,,,,
ET160027,Chirone,Sidama,Sidama,chirone,,,,,,,
ET160028,Shafamo,Sidama,Sidama,shafamo,,,,,,,
ET160029,Chabe Gambeltu,Sidama,Sidama,chabegambeltu,,,,,,,
ET160030,Daye town,Sidama,Sidama,daye,,,,,,,
ET160031,Hokko,Sidama,Sidama,hokko,,,,,,,
ET160032,Bilate Zuria,Sidama,Sidama,bilatezuria,,,,,,,
ET160033,Darara,Sidama,Sidama,darara,,,,,,,
ET160034,Daella,Sidama,Sidama,daella,,,,,,,
ET160035,Chuko town,Sidama,Sidama,chuko,,,,,,,
ET160036,Wondo-Genet town,Sidama,Sidama,wondogenet,,,,,,,
ET160037,Loka Abaya,Sidama,Sidama,lokaabaya,,,,,,,
