pcode,region,zone,woreda_name,report
ET990304,Contested,Area 3,Alamata town,1
ET990306,Contested,Area 3,Chercher,1
ET990303,Contested,Area 3,Korem town,1
ET990302,Contested,Area 3,Ofla,1
ET990301,Contested,Area 3,Raya Alamata,1
ET990305,Contested,Area 3,Zata,1
ET150201,Dire Dawa,Dire Dawa rural,Aseliso,1
ET150208,Dire Dawa,Dire Dawa rural,Biyoawale,1
ET150206,Dire Dawa,Dire Dawa rural,Jeldessa,1
ET150207,Dire Dawa,Dire Dawa rural,Wahil,1
ET150109,Dire Dawa,Dire Dawa urban,Addis Ketema (DD),1
ET150111,Dire Dawa,Dire Dawa urban,Dechatu,1
ET150110,Dire Dawa,Dire Dawa urban,Gende Kore,1
ET150112,Dire Dawa,Dire Dawa urban,Hafat Issa,1
ET150113,Dire Dawa,Dire Dawa urban,Kazira,1
ET150105,Dire Dawa,Dire Dawa urban,Legehare,1
ET150104,Dire Dawa,Dire Dawa urban,Malka Jabti /M.Jebdu,1
ET150114,Dire Dawa,Dire Dawa urban,Police Maret,1
ET150103,Dire Dawa,Dire Dawa urban,Sabian,1
ET120201,Gambela,Agnewak,Abobo,1
ET120205,Gambela,Agnewak,Dima (GM),1
ET120200,Gambela,Agnewak,Gambela National Park,1
ET120202,Gambela,Agnewak,Gambela Zuria,1
ET120206,Gambela,Agnewak,Gambela town,1
ET120203,Gambela,Agnewak,Gog,1
ET120204,Gambela,Agnewak,Jore,1
ET120407,Gambela,Itang Special,Itang,1
ET120301,Gambela,Majang,Godere,1
ET120308,Gambela,Majang,Mengesh,1
ET120101,Gambela,Nuwer,Akobo,1
ET120103,Gambela,Nuwer,Jikawo,1
ET120102,Gambela,Nuwer,Lare,1
ET120105,Gambela,Nuwer,Makuey,1
ET120104,Gambela,Nuwer,Wantawo,1
ET130109,Harari,Harari,Abadir,1
ET130108,Harari,Harari,Aboker,1
ET130107,Harari,Harari,Amir Nur,1
ET130106,Harari,Harari,Dire Teyara,1
