woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Choman Guduru,totprec,28,74.76010508,22.11805034,12,114.67627100,89.47350175,77.41016650,61.04359400,34.00591000
Choman Guduru,totprec,29,69.44703442,16.58905332,12,94.08481900,81.05236900,71.22477050,59.46887000,33.26810500
Choman Guduru,totprec,30,72.21894233,21.14480756,12,112.21874300,79.72943225,71.32098200,62.71098625,31.59907700
Choman Guduru,totprec,31,62.16201175,16.31030070,12,85.37694700,74.54199275,61.28434450,50.45585825,32.37196400
Choman Guduru,totprec,32,65.39940900,16.06443964,12,89.39291100,81.90399200,63.05691700,52.10250125,43.30684600
Choman Guduru,totprec,33,58.14035917,17.21419639,12,87.89077100,70.14824025,56.73790150,49.75251550,24.93789400
Choman Guduru,totprec,34,65.73039658,29.44292837,12,150.61129900,69.12581475,58.31759750,49.64783175,41.54267500
Choman Guduru,totprec,35,52.57511200,18.93986015,12,90.46280000,62.09208300,48.29893600,44.86873625,21.59456700
Choman Guduru,totprec,36,44.49313125,12.66316235,12,63.86439800,53.36886050,45.97889750,40.31538675,19.62596100
Choman Guduru,totprec,37,47.08962375,12.71737675,12,69.69360000,58.09140375,45.88931000,34.76089600,31.96201400
Choman Guduru,totprec,38,39.33038042,15.86119630,12,63.30943600,46.14723150,41.37530750,34.76052775,2.56334800
Choman Guduru,totprec,39,41.51089325,17.09655501,12,71.44691000,50.80936750,43.59270850,33.96994300,6.41672300
Choman Guduru,totprec,40,23.10345883,29.10543500,12,83.14252200,34.97504700,10.55433900,0.07716150,0.00000000
Choman Guduru,totprec,41,10.46565950,11.09295253,12,33.37408700,16.34927725,7.50714100,0.42098650,0.00000000
Choman Guduru,totprec,42,12.22478467,12.52122008,12,36.72038600,20.66287950,10.37546950,0.79353050,0.00000000
Choman Guduru,totprec,43,5.94135533,10.24035444,12,35.97792100,7.38653675,1.24305150,0.00000000,0.00000000
Choman Guduru,totprec,44,7.66585592,10.58653149,12,32.53120900,12.16064150,2.02458450,0.06247725,0.00000000
Choman Guduru,totprec,45,6.63043658,7.28208411,12,19.65097200,10.80906275,4.24377350,1.01349275,0.00000000
Choman Guduru,totprec,46,2.18059917,2.41419398,12,8.33766400,3.59726425,1.65177450,0.22108675,0.00000000
Choman Guduru,totprec,47,2.59722983,5.26075494,12,18.63683100,2.08889475,0.62979750,0.00000000,0.00000000
Choman Guduru,totprec,48,1.15933033,1.12855597,12,2.96496300,1.85140300,0.96689200,0.17967400,0.00000000
Choman Guduru,totprec,49,0.91179050,1.47308709,12,4.82081500,1.00771000,0.22433350,0.00000000,0.00000000
Choman Guduru,totprec,50,1.06537867,1.52245172,12,5.61127100,1.09639975,0.78287200,0.29043300,0.00000000
Choman Guduru,totprec,51,1.35223100,1.46105501,12,4.76100200,1.90258950,0.99269150,0.06460450,0.00000000
Choman Guduru,totprec,52,1.23906585,1.60689811,13,5.10284700,1.59413200,0.51568400,0.00000000,0.00000000
Chora (Buno Bedele),lst_mean,1,18.57781631,0.57185079,13,19.44849400,18.80840800,18.53379500,18.41943400,17.36285600
Chora (Buno Bedele),lst_mean,2,18.56532633,0.67357043,12,19.30210700,19.08293875,18.73525900,18.23064125,16.98273000
Chora (Buno Bedele),lst_mean,3,19.05968658,0.52687061,12,19.84803000,19.25153300,19.12757850,18.91273800,17.68759300
Chora (Buno Bedele),lst_mean,4,19.28139967,0.41598311,12,19.89745100,19.47693625,19.30812100,19.00517150,18.49145200
Chora (Buno Bedele),lst_mean,5,19.71896850,0.53414472,12,20.65687200,19.88972525,19.78716400,19.57343475,18.46184700
Chora (Buno Bedele),lst_mean,6,19.86234625,0.53798873,12,20.61727400,20.20488550,19.82010250,19.66568575,18.79984200
Chora (Buno Bedele),lst_mean,7,19.93436617,0.97805288,12,21.16088000,20.36789650,20.23461550,19.92289400,17.83001500
Chora (Buno Bedele),lst_mean,8,20.01221025,1.20161369,12,21.59750800,20.81987925,20.32440550,19.27497750,17.65134700
Chora (Buno Bedele),lst_mean,9,20.16852333,1.16327473,12,22.25739700,20.87991025,20.10356000,19.27408600,18.57688500
Chora (Buno Bedele),lst_mean,10,20.19316067,1.59081420,12,22.51833800,21.34347550,20.22640100,19.05367575,17.18087100
Chora (Buno Bedele),lst_mean,11,19.85275617,0.94633952,12,21.70594600,20.14415675,19.92540300,19.28002875,18.11000100
Chora (Buno Bedele),lst_mean,12,20.11717358,0.82129683,12,21.64937200,20.49524625,20.05572400,19.34962450,19.07042500
Chora (Buno Bedele),lst_mean,13,20.22943875,0.89423473,12,21.39069900,21.00533400,20.23648450,19.45740650,18.85038700
Chora (Buno Bedele),lst_mean,14,19.87983408,0.91136887,12,21.21326600,20.31621100,19.97150050,19.53429375,17.86362600
Chora (Buno Bedele),lst_mean,15,19.66830625,1.04555842,12,21.62057500,20.19815100,19.66682400,18.91733100,17.88962600
Chora (Buno Bedele),lst_mean,16,19.49663408,1.10615048,12,21.96641700,19.91730275,19.59739800,18.63427050,17.73156600
Chora (Buno Bedele),lst_mean,17,18.43965367,1.03592306,12,19.94648700,19.12532000,18.43916050,17.45805950,16.90442600
Chora (Buno Bedele),lst_mean,18,18.31240275,1.16949505,12,19.99881400,19.46440050,18.12488950,17.39207775,16.60967000
Chora (Buno Bedele),lst_mean,19,18.43160025,1.16290277,12,21.32970600,18.68405675,18.56138600,17.69190100,16.69315800
Chora (Buno Bedele),lst_mean,20,17.68844508,0.74717951,12,19.31814200,18.02289375,17.77801750,17.28913725,16.52320300
Chora (Buno Bedele),lst_mean,21,17.34813558,0.55272789,12,18.24573700,17.59855025,17.29235600,16.96636600,16.47661800
Chora (Buno Bedele),lst_mean,22,17.16386517,0.54285968,12,18.31382900,17.54458575,17.01413950,16.75549950,16.56672800
Chora (Buno Bedele),lst_mean,23,16.79427783,0.54058824,12,17.76442600,17.08441450,16.80026350,16.46399400,15.84145600
Chora (Buno Bedele),lst_mean,24,16.41657492,0.41106499,12,17.03472700,16.79239525,16.27766500,16.03246675,15.91464500
